Country Name,Country Code,Year,GDP
Poland,POL,2000,172220451786.957
Czechia,CZE,2000,61828166496.0941
Poland,POL,2001,190905493539.168
Czechia,CZE,2001,67808032979.5429
Poland,POL,2002,199070448694.9
Czechia,CZE,2002,82196001050.7474
Poland,POL,2003,217828661056.935
Czechia,CZE,2003,100090467581.268
Poland,POL,2004,255107252158.631
Czechia,CZE,2004,119814434353.575
Poland,POL,2005,306145944824.93
Czechia,CZE,2005,137143471328.274
Poland,POL,2006,344626667414.292
Czechia,CZE,2006,156264095664.643
Poland,POL,2007,429020755432.721
Czechia,CZE,2007,190183800884.018
Poland,POL,2008,533599779515.715
Czechia,CZE,2008,236816485762.988
Poland,POL,2009,439731589139.212
Czechia,CZE,2009,207434296805.33
Poland,POL,2010,475696613935.595
Czechia,CZE,2010,209069940963.177
Poland,POL,2011,524374183218.309
Czechia,CZE,2011,229562733398.948
Poland,POL,2012,495230523665.901
Czechia,CZE,2012,208857719320.649
Poland,POL,2013,515761954074.157
Czechia,CZE,2013,211685616592.931
Poland,POL,2014,539080475073.719
Czechia,CZE,2014,209358834156.329
Poland,POL,2015,477111287969.227
Czechia,CZE,2015,188033050459.881
Poland,POL,2016,470024599375.619
Czechia,CZE,2016,196272068576.338
Poland,POL,2017,524641252834.826
Czechia,CZE,2017,218628940951.675
Poland,POL,2018,588779796423.695
Czechia,CZE,2018,249000540729.179
Poland,POL,2019,596058473058.766
Czechia,CZE,2019,252548179964.897
Poland,POL,2020,599442732365.372
Czechia,CZE,2020,245974558654.043
Poland,POL,2021,681346077608.607
Czechia,CZE,2021,281791218507.1
Poland,POL,2022,689763329458.441
Czechia,CZE,2022,290565654835.809
Poland,POL,2023,811229100687.566
Czechia,CZE,2023,330858339871.686
